"Município";"COD_SEC";"saldo_202012";"saldo_202102"
"Abdon Batista";"F";-1;7
"Abdon Batista";"G";NA;-2
"Abdon Batista";"H";NA;-1
"Abdon Batista";"J";NA;3
"Abdon Batista";"K";NA;2
"Abdon Batista";"M";-1;NA
"Abdon Batista";"S";NA;1
"Abelardo Luz";"A";2;5
"Abelardo Luz";"C";15;50
"Abelardo Luz";"D";NA;1
"Abelardo Luz";"E";1;NA
"Abelardo Luz";"F";3;22
"Abelardo Luz";"G";-6;6
"Abelardo Luz";"H";-1;-3
"Abelardo Luz";"I";1;1
"Abelardo Luz";"J";2;-1
"Abelardo Luz";"K";1;-2
"Abelardo Luz";"L";NA;-1
"Abelardo Luz";"M";-2;0
"Abelardo Luz";"N";-1;NA
"Abelardo Luz";"P";-1;-2
"Abelardo Luz";"Q";2;1
"Abelardo Luz";"R";-2;NA
"Abelardo Luz";"S";-1;1
"Agrolândia";"A";-1;1
"Agrolândia";"C";-29;74
"Agrolândia";"F";NA;6
"Agrolândia";"G";-4;7
"Agrolândia";"H";-2;-1
"Agrolândia";"I";NA;4
"Agrolândia";"J";-1;-1
"Agrolândia";"K";NA;-1
"Agrolândia";"M";0;2
"Agrolândia";"N";-2;NA
"Agrolândia";"O";NA;2
"Agrolândia";"Q";-1;2
"Agrolândia";"S";NA;1
"Agronômica";"C";-25;26
"Agronômica";"E";NA;1
"Agronômica";"F";0;1
"Agronômica";"G";1;6
"Agronômica";"H";0;-1
"Agronômica";"I";0;-2
"Agronômica";"J";NA;1
"Agronômica";"K";-1;NA
"Agronômica";"L";NA;2
"Agronômica";"P";NA;0
"Agronômica";"Q";NA;0
"Agronômica";"S";NA;-1
"Água Doce";"A";-62;1
"Água Doce";"C";-1;7
"Água Doce";"D";-1;-4
"Água Doce";"E";-3;0
"Água Doce";"F";-3;1
"Água Doce";"G";5;3
"Água Doce";"H";2;9
"Água Doce";"I";3;-2
"Água Doce";"J";NA;-1
"Água Doce";"L";NA;-1
"Água Doce";"M";NA;-1
"Água Doce";"N";NA;1
"Água Doce";"Q";-1;1
"Água Doce";"S";1;NA
"Águas de Chapecó";"C";-6;12
"Águas de Chapecó";"G";-1;4
"Águas de Chapecó";"H";NA;-1
"Águas de Chapecó";"K";NA;-1
"Águas de Chapecó";"P";NA;1
"Águas de Chapecó";"S";-1;-1
"Águas Frias";"C";-7;-6
"Águas Frias";"F";-1;5
"Águas Frias";"G";5;2
"Águas Frias";"H";-4;2
"Águas Frias";"M";-1;0
"Águas Frias";"O";-1;NA
"Águas Frias";"S";NA;1
"Águas Mornas";"A";NA;0
"Águas Mornas";"B";-1;-1
"Águas Mornas";"C";-1;-2
"Águas Mornas";"F";-5;6
"Águas Mornas";"G";2;10
"Águas Mornas";"H";NA;-1
"Águas Mornas";"I";1;3
"Águas Mornas";"K";3;2
"Águas Mornas";"S";NA;1
"Alfredo Wagner";"A";2;-1
"Alfredo Wagner";"C";-3;3
"Alfredo Wagner";"F";NA;4
"Alfredo Wagner";"G";6;-3
"Alfredo Wagner";"H";-1;1
"Alfredo Wagner";"I";0;3
"Alfredo Wagner";"J";NA;1
"Alfredo Wagner";"K";1;0
"Alfredo Wagner";"M";-1;NA
"Alfredo Wagner";"N";-1;1
"Alfredo Wagner";"Q";1;3
"Alfredo Wagner";"R";NA;-4
"Alfredo Wagner";"S";1;1
"Alto Bela Vista";"C";1;3
"Alto Bela Vista";"F";NA;-1
"Alto Bela Vista";"G";-4;0
"Alto Bela Vista";"K";NA;1
"Alto Bela Vista";"S";-1;NA
"Anchieta";"C";-3;13
"Anchieta";"E";-1;2
"Anchieta";"F";NA;-1
"Anchieta";"G";3;4
"Anchieta";"H";2;3
"Anchieta";"I";0;1
"Anchieta";"M";1;4
"Anchieta";"P";-5;1
"Anchieta";"R";NA;1
"Anchieta";"S";NA;0
"Angelina";"A";-1;NA
"Angelina";"C";-2;2
"Angelina";"E";-1;2
"Angelina";"F";-1;11
"Angelina";"G";1;0
"Angelina";"I";-7;-2
"Angelina";"K";NA;-1
"Angelina";"N";NA;0
"Angelina";"P";1;3
"Angelina";"Q";0;1
"Angelina";"S";0;-1
"Anita Garibaldi";"C";-9;46
"Anita Garibaldi";"F";-1;6
"Anita Garibaldi";"G";-3;7
"Anita Garibaldi";"H";0;0
"Anita Garibaldi";"I";2;NA
"Anita Garibaldi";"J";1;NA
"Anita Garibaldi";"M";-1;NA
"Anita Garibaldi";"N";-1;1
"Anita Garibaldi";"P";NA;2
"Anita Garibaldi";"Q";NA;1
"Anita Garibaldi";"S";NA;1
"Anitápolis";"A";-2;1
"Anitápolis";"C";0;-1
"Anitápolis";"G";0;4
"Anitápolis";"H";NA;-1
"Anitápolis";"I";1;NA
"Anitápolis";"Q";0;2
"Anitápolis";"S";-1;2
"Antônio Carlos";"A";-1;3
"Antônio Carlos";"B";1;1
"Antônio Carlos";"C";9;22
"Antônio Carlos";"F";-3;3
"Antônio Carlos";"G";5;-1
"Antônio Carlos";"H";3;3
"Antônio Carlos";"I";5;2
"Antônio Carlos";"J";NA;1
"Antônio Carlos";"M";1;-1
"Antônio Carlos";"N";-2;1
"Antônio Carlos";"Q";2;1
"Antônio Carlos";"R";0;NA
"Antônio Carlos";"S";1;3
"Apiúna";"A";NA;-1
"Apiúna";"C";-66;70
"Apiúna";"D";NA;-1
"Apiúna";"F";0;2
"Apiúna";"G";-1;9
"Apiúna";"H";1;1
"Apiúna";"I";-1;6
"Apiúna";"K";1;3
"Apiúna";"M";-2;0
"Apiúna";"N";-1;-1
"Apiúna";"O";-1;1
"Apiúna";"P";-1;NA
"Apiúna";"Q";NA;-1
"Apiúna";"S";-1;1
"Arabutã";"A";NA;2
"Arabutã";"C";-1;1
"Arabutã";"F";1;-1
"Arabutã";"G";-3;-1
"Arabutã";"H";0;2
"Arabutã";"I";NA;0
"Arabutã";"N";-1;NA
"Arabutã";"P";1;NA
"Arabutã";"S";1;1
"Araquari";"A";-5;-2
"Araquari";"B";-3;-2
"Araquari";"C";-73;219
"Araquari";"E";3;6
"Araquari";"F";-76;-35
"Araquari";"G";12;39
"Araquari";"H";1;53
"Araquari";"I";-1;-8
"Araquari";"J";-1;2
"Araquari";"L";0;-1
"Araquari";"M";0;3
"Araquari";"N";4;33
"Araquari";"P";-2;5
"Araquari";"Q";-2;5
"Araquari";"R";-1;NA
"Araquari";"S";-8;22
"Araquari";"T";NA;1
"Araranguá";"A";-3;-1
"Araranguá";"B";-2;0
"Araranguá";"C";49;249
"Araranguá";"E";-1;1
"Araranguá";"F";-3;15
"Araranguá";"G";54;32
"Araranguá";"H";31;11
"Araranguá";"I";22;13
"Araranguá";"J";0;-2
"Araranguá";"K";0;-2
"Araranguá";"L";3;2
"Araranguá";"M";-4;24
"Araranguá";"N";-18;12
"Araranguá";"P";2;14
"Araranguá";"Q";2;1
"Araranguá";"R";2;3
"Araranguá";"S";0;16
"Armazém";"A";0;-1
"Armazém";"C";-22;27
"Armazém";"F";3;-4
"Armazém";"G";-2;8
"Armazém";"H";0;4
"Armazém";"I";1;1
"Armazém";"J";1;-1
"Armazém";"K";NA;1
"Armazém";"M";-2;1
"Armazém";"P";-1;NA
"Armazém";"Q";NA;4
"Armazém";"R";NA;0
"Armazém";"S";NA;1
"Arroio Trinta";"A";-3;-1
"Arroio Trinta";"C";-15;6
"Arroio Trinta";"G";-4;3
"Arroio Trinta";"H";1;-1
"Arroio Trinta";"I";-1;1
"Arroio Trinta";"J";-1;0
"Arroio Trinta";"M";NA;1
"Arroio Trinta";"Q";-1;1
"Arroio Trinta";"R";NA;-3
"Arvoredo";"A";6;14
"Arvoredo";"C";-3;4
"Arvoredo";"F";NA;-1
"Arvoredo";"G";7;-1
"Arvoredo";"H";4;-1
"Arvoredo";"I";1;-1
"Arvoredo";"S";-2;-2
"Ascurra";"A";NA;1
"Ascurra";"C";-27;22
"Ascurra";"E";-3;8
"Ascurra";"F";2;-2
"Ascurra";"G";-14;-4
"Ascurra";"H";-1;-1
"Ascurra";"I";3;2
"Ascurra";"J";NA;0
"Ascurra";"K";NA;1
"Ascurra";"M";-1;0
"Ascurra";"N";NA;1
"Ascurra";"Q";-1;NA
"Ascurra";"S";-5;6
"Atalanta";"A";3;-1
"Atalanta";"C";-3;10
"Atalanta";"E";0;1
"Atalanta";"G";-1;0
"Atalanta";"H";NA;1
"Atalanta";"M";NA;-1
"Atalanta";"S";-1;NA
"Aurora";"C";3;14
"Aurora";"F";-1;-1
"Aurora";"G";-1;-2
"Aurora";"H";-10;-3
"Aurora";"I";-1;-1
"Aurora";"J";NA;1
"Aurora";"N";2;-3
"Aurora";"Q";1;NA
"Balneário Arroio do Silva";"C";9;4
"Balneário Arroio do Silva";"E";1;NA
"Balneário Arroio do Silva";"F";2;-6
"Balneário Arroio do Silva";"G";8;0
"Balneário Arroio do Silva";"I";25;-11
"Balneário Arroio do Silva";"J";6;-2
"Balneário Arroio do Silva";"L";NA;0
"Balneário Arroio do Silva";"N";9;19
"Balneário Arroio do Silva";"P";NA;-1
"Balneário Arroio do Silva";"Q";1;NA
"Balneário Arroio do Silva";"R";NA;1
"Balneário Arroio do Silva";"S";NA;1
"Balneário Barra do Sul";"A";2;5
"Balneário Barra do Sul";"B";-1;NA
"Balneário Barra do Sul";"C";-3;-7
"Balneário Barra do Sul";"F";0;1
"Balneário Barra do Sul";"G";13;7
"Balneário Barra do Sul";"H";-1;7
"Balneário Barra do Sul";"I";4;4
"Balneário Barra do Sul";"N";-1;4
"Balneário Barra do Sul";"P";NA;0
"Balneário Camboriú";"C";-18;52
"Balneário Camboriú";"E";-9;-1
"Balneário Camboriú";"F";-214;157
"Balneário Camboriú";"G";630;-244
"Balneário Camboriú";"H";17;-25
"Balneário Camboriú";"I";702;-157
"Balneário Camboriú";"J";4;9
"Balneário Camboriú";"K";-1;0
"Balneário Camboriú";"L";-6;0
"Balneário Camboriú";"M";-5;86
"Balneário Camboriú";"N";148;-23
"Balneário Camboriú";"O";-1;2
"Balneário Camboriú";"P";-55;108
"Balneário Camboriú";"Q";19;52
"Balneário Camboriú";"R";5;33
"Balneário Camboriú";"S";-3;6
"Balneário Gaivota";"A";NA;1
"Balneário Gaivota";"B";1;NA
"Balneário Gaivota";"C";2;5
"Balneário Gaivota";"E";1;NA
"Balneário Gaivota";"F";-4;1
"Balneário Gaivota";"G";9;-1
"Balneário Gaivota";"H";0;0
"Balneário Gaivota";"I";1;-1
"Balneário Gaivota";"J";2;0
"Balneário Gaivota";"L";-1;2
"Balneário Gaivota";"N";10;-1
"Balneário Gaivota";"Q";2;NA
"Balneário Piçarras";"A";NA;-1
"Balneário Piçarras";"C";-4;51
"Balneário Piçarras";"E";11;-2
"Balneário Piçarras";"F";-6;5
"Balneário Piçarras";"G";61;16
"Balneário Piçarras";"H";-2;2
"Balneário Piçarras";"I";26;-1
"Balneário Piçarras";"J";4;3
"Balneário Piçarras";"K";-1;NA
"Balneário Piçarras";"L";5;2
"Balneário Piçarras";"M";0;4
"Balneário Piçarras";"N";5;3
"Balneário Piçarras";"P";-1;6
"Balneário Piçarras";"Q";-1;7
"Balneário Piçarras";"R";3;-1
"Balneário Piçarras";"S";0;8
"Balneário Rincão";"B";NA;4
"Balneário Rincão";"C";1;3
"Balneário Rincão";"E";NA;2
"Balneário Rincão";"F";0;-8
"Balneário Rincão";"G";35;-31
"Balneário Rincão";"H";0;1
"Balneário Rincão";"I";3;11
"Balneário Rincão";"J";1;NA
"Balneário Rincão";"K";NA;-1
"Balneário Rincão";"L";1;2
"Balneário Rincão";"M";NA;1
"Balneário Rincão";"N";10;-4
"Balneário Rincão";"P";NA;89
"Balneário Rincão";"S";NA;3
"Bandeirante";"C";2;7
"Bandeirante";"F";-1;-1
"Bandeirante";"G";1;0
"Bandeirante";"H";NA;1
"Barra Bonita";"A";-2;NA
"Barra Bonita";"C";1;2
"Barra Bonita";"F";NA;1
"Barra Bonita";"G";1;-2
"Barra Bonita";"M";NA;1
"Barra Velha";"A";-1;-1
"Barra Velha";"B";NA;-1
"Barra Velha";"C";-13;55
"Barra Velha";"E";4;2
"Barra Velha";"F";-7;3
"Barra Velha";"G";16;-24
"Barra Velha";"H";-30;-34
"Barra Velha";"I";30;-19
"Barra Velha";"J";-1;0
"Barra Velha";"K";-1;-1
"Barra Velha";"L";NA;3
"Barra Velha";"M";-4;1
"Barra Velha";"N";2;8
"Barra Velha";"P";-2;7
"Barra Velha";"Q";-1;1
"Barra Velha";"R";NA;0
"Barra Velha";"S";-2;-2
"Bela Vista do Toldo";"A";NA;2
"Bela Vista do Toldo";"G";0;0
"Bela Vista do Toldo";"H";-1;2
"Bela Vista do Toldo";"I";1;NA
"Belmonte";"F";NA;-1
"Belmonte";"G";-2;-1
"Belmonte";"H";-2;3
"Benedito Novo";"A";NA;-2
"Benedito Novo";"C";-42;72
"Benedito Novo";"E";-1;-1
"Benedito Novo";"F";1;-3
"Benedito Novo";"G";8;4
"Benedito Novo";"H";NA;0
"Benedito Novo";"I";1;NA
"Benedito Novo";"M";-1;1
"Benedito Novo";"N";NA;7
"Benedito Novo";"P";1;1
"Benedito Novo";"Q";1;-2
"Biguaçu";"A";NA;0
"Biguaçu";"B";-1;2
"Biguaçu";"C";-62;63
"Biguaçu";"D";1;4
"Biguaçu";"E";1;-1
"Biguaçu";"F";-42;154
"Biguaçu";"G";24;41
"Biguaçu";"H";-18;8
"Biguaçu";"I";3;-4
"Biguaçu";"J";-3;-5
"Biguaçu";"K";1;-2
"Biguaçu";"L";0;0
"Biguaçu";"M";0;8
"Biguaçu";"N";5;47
"Biguaçu";"P";-3;22
"Biguaçu";"Q";8;9
"Biguaçu";"R";2;-1
"Biguaçu";"S";7;17
"Blumenau";"A";3;-1
"Blumenau";"B";-2;NA
"Blumenau";"C";-945;930
"Blumenau";"D";NA;1
"Blumenau";"E";9;2
"Blumenau";"F";-193;70
"Blumenau";"G";-71;178
"Blumenau";"H";-3;-10
"Blumenau";"I";18;465
"Blumenau";"J";6;-29
"Blumenau";"K";34;82
"Blumenau";"L";-2;18
"Blumenau";"M";-46;59
"Blumenau";"N";-369;74
"Blumenau";"O";-1327;1273
"Blumenau";"P";-112;216
"Blumenau";"Q";-61;48
"Blumenau";"R";-14;34
"Blumenau";"S";-8;17
"Blumenau";"T";4;NA
"Bocaina do Sul";"A";NA;-1
"Bocaina do Sul";"C";-7;-2
"Bocaina do Sul";"F";NA;-2
"Bocaina do Sul";"G";1;1
"Bocaina do Sul";"I";1;1
"Bom Jardim da Serra";"A";-24;18
"Bom Jardim da Serra";"C";NA;2
"Bom Jardim da Serra";"G";1;16
"Bom Jardim da Serra";"I";1;13
"Bom Jardim da Serra";"J";2;NA
"Bom Jesus";"A";1;2
"Bom Jesus";"C";-3;-1
"Bom Jesus";"F";-1;1
"Bom Jesus";"G";-2;3
"Bom Jesus";"H";-1;1
"Bom Jesus";"I";-1;NA
"Bom Jesus";"M";NA;0
"Bom Jesus";"N";-4;NA
"Bom Jesus";"Q";-2;NA
"Bom Jesus do Oeste";"C";0;3
"Bom Jesus do Oeste";"G";0;1
"Bom Jesus do Oeste";"H";NA;3
"Bom Jesus do Oeste";"I";NA;-1
"Bom Retiro";"A";-48;38
"Bom Retiro";"C";3;15
"Bom Retiro";"G";-8;7
"Bom Retiro";"H";NA;-2
"Bom Retiro";"I";-1;3
"Bom Retiro";"J";2;NA
"Bom Retiro";"K";-2;NA
"Bom Retiro";"L";0;1
"Bom Retiro";"M";2;1
"Bom Retiro";"N";NA;2
"Bom Retiro";"P";-7;16
"Bom Retiro";"Q";-2;1
"Bom Retiro";"S";NA;-2
"Bombinhas";"C";10;5
"Bombinhas";"E";-2;NA
"Bombinhas";"F";-5;45
"Bombinhas";"G";224;-121
"Bombinhas";"H";4;-7
"Bombinhas";"I";304;-109
"Bombinhas";"J";-2;-6
"Bombinhas";"K";1;1
"Bombinhas";"L";6;-3
"Bombinhas";"M";5;8
"Bombinhas";"N";22;2
"Bombinhas";"O";-1;-2
"Bombinhas";"P";0;3
"Bombinhas";"Q";7;-3
"Bombinhas";"R";2;2
"Bombinhas";"S";12;3
"Botuverá";"A";-1;2
"Botuverá";"B";3;6
"Botuverá";"C";4;17
"Botuverá";"E";NA;2
"Botuverá";"F";-1;NA
"Botuverá";"G";-3;0
"Botuverá";"H";-1;0
"Botuverá";"I";-1;-1
"Botuverá";"K";NA;1
"Botuverá";"M";NA;0
"Botuverá";"N";0;1
"Botuverá";"O";-77;21
"Botuverá";"S";NA;-1
"Braço do Norte";"C";-63;90
"Braço do Norte";"D";-2;0
"Braço do Norte";"E";-2;-3
"Braço do Norte";"F";-10;4
"Braço do Norte";"G";-17;51
"Braço do Norte";"H";-8;2
"Braço do Norte";"I";-4;2
"Braço do Norte";"J";1;-6
"Braço do Norte";"K";1;4
"Braço do Norte";"L";NA;-2
"Braço do Norte";"M";-5;9
"Braço do Norte";"N";52;-18
"Braço do Norte";"O";-64;72
"Braço do Norte";"P";-6;55
"Braço do Norte";"Q";-10;4
"Braço do Norte";"R";1;4
"Braço do Norte";"S";20;0
"Braço do Trombudo";"C";-6;28
"Braço do Trombudo";"F";NA;-9
"Braço do Trombudo";"G";-3;1
"Braço do Trombudo";"H";-1;-1
"Braço do Trombudo";"I";1;NA
"Braço do Trombudo";"K";NA;-1
"Braço do Trombudo";"M";-1;-1
"Braço do Trombudo";"Q";0;4
"Braço do Trombudo";"S";1;NA
"Brunópolis";"A";-2;2
"Brunópolis";"C";-4;-6
"Brunópolis";"G";-2;3
"Brunópolis";"N";NA;1
"Brusque";"A";-1;NA
"Brusque";"B";1;0
"Brusque";"C";-754;497
"Brusque";"E";-11;11
"Brusque";"F";-106;-36
"Brusque";"G";72;45
"Brusque";"H";-8;19
"Brusque";"I";-16;21
"Brusque";"J";-8;7
"Brusque";"K";-3;4
"Brusque";"L";-4;4
"Brusque";"M";-13;27
"Brusque";"N";5;32
"Brusque";"O";1;40
"Brusque";"P";-22;71
"Brusque";"Q";13;33
"Brusque";"R";-2;17
"Brusque";"S";-3;43
"Caçador";"A";34;25
"Caçador";"B";-1;1
"Caçador";"C";-332;207
"Caçador";"E";1;3
"Caçador";"F";-11;-4
"Caçador";"G";4;-47
"Caçador";"H";4;-15
"Caçador";"I";11;9
"Caçador";"J";-5;1
"Caçador";"K";3;-1
"Caçador";"L";-1;0
"Caçador";"M";5;2
"Caçador";"N";-4;8
"Caçador";"P";-7;39
"Caçador";"Q";-2;12
"Caçador";"R";-1;15
"Caçador";"S";-10;32
"Caibi";"A";3;-1
"Caibi";"C";-16;13
"Caibi";"F";-2;0
"Caibi";"G";-6;7
"Caibi";"H";10;10
"Caibi";"I";NA;0
"Caibi";"J";-1;NA
"Caibi";"K";0;1
"Caibi";"L";NA;-1
"Caibi";"N";1;NA
"Caibi";"P";NA;0
"Caibi";"Q";-1;-1
"Caibi";"S";-4;1
"Calmon";"A";1;0
"Calmon";"C";1;2
"Calmon";"F";-2;-3
"Calmon";"G";-2;-1
"Calmon";"H";0;NA
"Calmon";"I";-1;-1
"Calmon";"J";1;NA
"Camboriú";"A";NA;0
"Camboriú";"B";-1;2
"Camboriú";"C";-2;57
"Camboriú";"E";9;0
"Camboriú";"F";-49;70
"Camboriú";"G";21;42
"Camboriú";"H";11;-8
"Camboriú";"I";10;19
"Camboriú";"J";2;0
"Camboriú";"K";1;-2
"Camboriú";"L";-1;-3
"Camboriú";"M";-1;9
"Camboriú";"N";56;18
"Camboriú";"P";-6;35
"Camboriú";"Q";-1;5
"Camboriú";"R";-7;7
"Camboriú";"S";1;6
"Camboriú";"T";1;NA
"Campo Alegre";"A";NA;-1
"Campo Alegre";"B";-1;-1
"Campo Alegre";"C";59;205
"Campo Alegre";"E";NA;1
"Campo Alegre";"F";-1;2
"Campo Alegre";"G";6;3
"Campo Alegre";"H";2;-2
"Campo Alegre";"I";4;7
"Campo Alegre";"L";NA;1
"Campo Alegre";"M";-4;NA
"Campo Alegre";"N";1;NA
"Campo Alegre";"P";NA;1
"Campo Alegre";"Q";0;-1
"Campo Alegre";"S";-1;1
"Campo Belo do Sul";"A";-7;3
"Campo Belo do Sul";"C";-6;1
"Campo Belo do Sul";"F";NA;-1
"Campo Belo do Sul";"G";-3;2
"Campo Belo do Sul";"H";NA;1
"Campo Belo do Sul";"I";1;2
"Campo Belo do Sul";"K";NA;-1
"Campo Belo do Sul";"Q";NA;0
"Campo Belo do Sul";"R";NA;1
"Campo Belo do Sul";"S";1;1
"Campo Erê";"A";-2;4
"Campo Erê";"C";-27;25
"Campo Erê";"F";-3;-3
"Campo Erê";"G";-2;2
"Campo Erê";"H";-2;-4
"Campo Erê";"I";-1;1
"Campo Erê";"J";-1;0
"Campo Erê";"K";-1;NA
"Campo Erê";"M";NA;0
"Campo Erê";"N";1;-2
"Campo Erê";"P";-2;NA
"Campo Erê";"Q";-3;1
"Campo Erê";"S";-1;1
"Campos Novos";"A";-10;-2
"Campos Novos";"B";1;NA
"Campos Novos";"C";-66;59
